metro,state,LAT,LON,BOV_1995,BOV_1996,BOV_1997,BOV_1998,BOV_1999,BOV_2000,BOV_2001,BOV_2002,BOV_2003,BOV_2004,BOV_2005,BOV_2006,BOV_2007,BOV_2008,BOV_2009,BOV_2010,BOV_2011,BOV_2012,BOV_2013,BOV_2014,BOV_2015,EQ_1995,EQ_1996,EQ_1997,EQ_1998,EQ_1999,EQ_2000,EQ_2001,EQ_2002,EQ_2003,EQ_2004,EQ_2005,EQ_2006,EQ_2007,EQ_2008,EQ_2009,EQ_2010,EQ_2011,EQ_2012,EQ_2013,EQ_2014,EQ_2015,ACC_1995,ACC_1996,ACC_1997,ACC_1998,ACC_1999,ACC_2000,ACC_2001,ACC_2002,ACC_2003,ACC_2004,ACC_2005,ACC_2006,ACC_2007,ACC_2008,ACC_2009,ACC_2010,ACC_2011,ACC_2012,ACC_2013,ACC_2014,ACC_2015,OV_1995,OV_1996,OV_1997,OV_1998,OV_1999,OV_2000,OV_2001,OV_2002,OV_2003,OV_2004,OV_2005,OV_2006,OV_2007,OV_2008,OV_2009,OV_2010,OV_2011,OV_2012,OV_2013,OV_2014,OV_2015,CAP_1995,CAP_1996,CAP_1997,CAP_1998,CAP_1999,CAP_2000,CAP_2001,CAP_2002,CAP_2003,CAP_2004,CAP_2005,CAP_2006,CAP_2007,CAP_2008,CAP_2009,CAP_2010,CAP_2011,CAP_2012,CAP_2013,CAP_2014,CAP_2015,AV_1995,AV_1996,AV_1997,AV_1998,AV_1999,AV_2000,AV_2001,AV_2002,AV_2003,AV_2004,AV_2005,AV_2006,AV_2007,AV_2008,AV_2009,AV_2010,AV_2011,AV_2012,AV_2013,AV_2014,AV_2015,POR_1995,POR_1996,POR_1997,POR_1998,POR_1999,POR_2000,POR_2001,POR_2002,POR_2003,POR_2004,POR_2005,POR_2006,POR_2007,POR_2008,POR_2009,POR_2010,POR_2011,POR_2012,POR_2013,POR_2014,POR_2015,FEL_1995,FEL_1996,FEL_1997,FEL_1998,FEL_1999,FEL_2000,FEL_2001,FEL_2002,FEL_2003,FEL_2004,FEL_2005,FEL_2006,FEL_2007,FEL_2008,FEL_2009,FEL_2010,FEL_2011,FEL_2012,FEL_2013,FEL_2014,FEL_2015,CAN_1995,CAN_1996,CAN_1997,CAN_1998,CAN_1999,CAN_2000,CAN_2001,CAN_2002,CAN_2003,CAN_2004,CAN_2005,CAN_2006,CAN_2007,CAN_2008,CAN_2009,CAN_2010,CAN_2011,CAN_2012,CAN_2013,CAN_2014,CAN_2015,WIL_2009,WIL_2010,WIL_2011,WIL_2012,WIL_2013,WIL_2014,WIL_2015,MIS_1995,MIS_1996,MIS_1997,MIS_1998,MIS_1999,MIS_2000,MIS_2001,MIS_2002,MIS_2003,MIS_2004,MIS_2005,MIS_2006,MIS_2007,MIS_2008,MIS_2009,MIS_2010,MIS_2011,MIS_2012,MIS_2013,MIS_2014,MIS_2015,TOT_1995,TOT_1996,TOT_1997,TOT_1998,TOT_1999,TOT_2000,TOT_2001,TOT_2002,TOT_2003,TOT_2004,TOT_2005,TOT_2006,TOT_2007,TOT_2008,TOT_2009,TOT_2010,TOT_2011,TOT_2012,TOT_2013,TOT_2014,TOT_2015
Elliott,KY,38.157509,-83.122007,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,2,,,,,,
Estill,KY,37.697538,-83.974426,2,0,1,0,3,0,2,1,3,0,5,35,26,32,428,202,139,1942,2456,1486,215,4,37,74,35,65,13,4,9,2,4,57,181,191,201,215,1223,1313,1536,887,118,177,31,79,101,68,95,24,10,14,14,14,70,225,224,244,236,244,238,333,371,367,341,,,,,,,,,,,,,,,,1,1,,1,3,1,8,3,,4,1,1,,1,4,5,1,3,1,1,4,3,,,2,1,2,1,,,,,,3,,1,1,,1,1,,1,,,1,,2,3,,,2,,,1,,,,,,,1,3,13,,,1,1,,,5,6,1,8,8,2,,,,,3,,1,1,1,2,2,41,54,72,44,11,26,22,21,17,7,1,3,4,3,3,4,2,5,2,9,15,64,102,97,118,,1,,,,,1,2,7,1,,1,,1,,,1,1,1,1,,4,1,,,,,,33,79,101,68,95,24,11,14,14,14,70,225,224,244,668,1442,1470,3585,3503,1779,561
Fayette,KY,38.060648,-84.480261,138,150,181,143,134,125,115,88,150,85,106,113,148,116,726,39,28,49,44,61,86,12124,12834,13323,14389,14878,16797,16230,15676,15182,15845,16557,17466,18644,18071,19286,21427,21035,22240,20375,19739,21981,15268,16251,17047,18020,17591,18464,17825,17164,16935,17453,17928,18854,19802,19179,18536,18912,18944,17236,16600,16407,12511,60,80,66,61,31,18,22,23,15,18,32,48,49,48,35,3,5,13,1,2,1,11,5,9,15,5,8,9,10,2,6,9,24,19,26,19,21,11,13,9,10,7,111,202,149,100,55,50,145,33,40,40,53,66,64,46,13669,23854,3066,3419,3172,3428,3134,159,135,109,44,13,2,9,4,11,1,2,3,1,1,1,5,,2,,4,,569,675,726,839,594,325,314,292,374,329,283,261,218,176,210,172,155,118,135,133,130,1839,1980,2221,2334,1840,1169,971,1027,1189,1176,999,925,774,675,670,606,756,488,478,508,499,13,324,31,24,14,35,64,318,254,332,274,188,168,189,206,144,147,86,128,110,216,592,1170,710,365,332,194,168,15330,16316,17116,18199,17740,18663,18004,17360,17115,17660,18135,19037,20041,19391,35230,47621,25797,26731,24560,24114,26070
Fleming,KY,38.398763,-83.677393,196,135,132,171,211,139,205,198,156,178,162,129,114,106,126,721,452,273,214,165,131,247,210,237,251,377,447,589,600,725,756,880,850,785,853,764,752,688,693,474,424,313,492,386,419,499,669,666,870,869,935,1021,1154,1058,959,1025,801,653,668,589,525,445,412,,,2,18,1,,,3,1,,3,,1,2,12,5,1,5,2,1,1,,,7,2,1,4,8,11,7,8,2,,9,6,4,24,26,27,16,13,30,1,,,2,1,,,,,,1,1,,,1,1,,,,,,25,20,21,24,38,46,33,12,9,10,6,4,5,4,14,14,4,18,18,7,6,3,8,2,4,6,4,,7,4,5,22,6,5,6,5,1,4,8,10,6,7,24,17,25,25,34,27,31,37,30,57,62,59,19,32,31,36,43,27,49,35,45,1,187,89,42,9,1,,2,3,1,7,3,3,5,2,4,9,17,11,23,15,18,7,,1,14,,2,498,393,427,504,672,670,871,870,936,1024,1155,1061,961,1026,975,1748,1307,1094,806,652,535
Floyd,KY,37.545546,-82.777858,2,3,2,0,0,0,0,0,3,0,0,0,1,1,0,0,0,0,0,1,0,166,125,143,151,140,185,264,214,158,181,199,229,241,275,313,389,379,278,202,78,198,246,206,195,225,202,222,303,277,211,241,244,289,275,317,367,439,456,324,245,83,204,,,,,,,,,,,,,,,,,,,,,,,1,,,1,1,2,3,3,,,2,2,1,1,,1,,,,,6,6,6,5,3,,2,,2,,1,1,,1,,,,,,,,,1,,1,2,,,,,,,,,,,,,,,,,13,17,8,19,6,4,6,8,3,11,4,5,8,4,5,4,15,7,5,,,58,54,36,45,47,30,27,47,41,49,40,52,23,35,47,45,60,39,38,4,6,,,,,,,,1,,,4,3,2,2,5,1,,,,,,,1,1,,,,,246,207,195,225,202,222,303,277,211,241,244,289,275,317,366,439,456,324,245,83,204
Franklin,KY,38.248102,-84.898478,308,283,159,162,108,109,87,79,70,74,68,69,51,36,1389,10,264,3,196,5,23,165,92,149,247,172,88,87,54,84,109,128,117,98,89,57,226,191,184,224,190,170,748,578,590,606,506,360,408,2427,392,378,303,273,278,192,148,159,126,138,205,220,152,2,,2,,6,5,6,20,29,8,8,7,10,5,6,11,3,4,1,4,1,,,1,1,9,13,4,7,1,3,,3,3,4,7,2,2,,1,13,2,8,8,1,4,7,15,115,2168,13,14,19,22,30,5,5,2,,3,35,80,158,125,36,39,7,19,40,7,1,1,3,2,2,,,1,,3,2,1,3,,31,39,69,43,34,11,15,10,10,26,7,8,10,10,8,2,6,18,21,27,5,111,117,171,159,141,61,71,55,50,61,17,17,26,12,17,26,24,32,57,65,13,6,3,4,7,2,8,7,19,14,23,21,16,24,17,33,136,80,56,38,51,30,49,88,95,3,3,1,37,769,589,614,644,512,366,409,2427,394,378,305,284,279,192,1546,370,592,256,541,396,416
Fulton,KY,36.563048,-89.132487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,5,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,1,5,,,1,2,,,,,,,,,,,,,,
Gallatin,KY,38.729507,-84.877639,1,0,0,1,1,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,16,23,1,18,4,6,7,10,7,5,15,12,8,5,3,32,407,196,12,2,0,17,23,1,22,5,6,11,10,7,6,15,13,11,5,3,20,217,111,12,2,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,2,,,,17,23,1,22,5,6,11,10,7,6,15,13,11,5,3,32,407,198,12,2,
Garrard,KY,37.641323,-84.564147,92,91,98,94,99,75,78,59,34,24,6,3,8,3,2,1,0,0,0,0,0,42,73,154,206,301,384,232,221,134,223,104,256,436,450,420,1,1,2,0,0,15,136,171,267,319,413,476,328,291,185,267,124,268,457,463,436,2,5,15,5,8,23,,,,1,1,2,1,,,,1,,,1,,,,,,,,,,1,,1,1,,3,6,9,1,1,,,1,,,,,,4,,,1,,,,2,,,,,1,1,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,1,1,2,2,1,1,2,1,1,,2,3,3,1,6,,,,,2,,4,5,11,15,8,14,11,7,9,10,6,3,5,6,5,,,1,,,,,,,,,,,,2,2,,3,,4,,1,1,4,1,4,2,1,,,,,,,139,173,269,319,414,477,330,291,185,267,124,268,457,463,435,2,1,3,,2,19
Grant,KY,38.656525,-84.647912,62,64,56,54,53,43,44,27,35,38,29,14,17,22,12,15,26,147,124,148,23,698,695,671,681,711,813,863,917,921,946,924,854,778,833,895,884,807,743,851,691,364,836,855,829,863,875,971,1030,1052,1087,1095,1025,940,851,888,937,942,863,802,921,769,415,1,,1,,,,,4,5,4,,,,1,,4,3,1,4,1,2,2,5,3,2,2,3,8,7,14,13,8,7,3,6,4,83,91,8,25,3,10,6,4,5,1,2,2,1,2,2,1,,,,,,7,,1,,,1,14,16,19,19,22,29,23,5,5,,,,,,2,1,,,,1,2,5,6,8,16,6,10,11,6,11,13,10,6,7,3,6,6,4,,2,,,48,63,70,92,81,67,78,81,91,78,52,53,39,18,13,20,19,13,31,23,9,1,,1,,,,,1,2,1,1,,4,2,3,3,1,1,6,8,6,5,5,8,3,2,,4,837,855,834,866,877,971,1030,1052,1087,1095,1025,940,852,889,938,1025,959,916,1039,867,415
Graves,KY,36.688773,-88.710896,1,,7,1,0,1,2,0,0,0,0,0,4,0,5,0,0,0,0,2,3,0,479,555,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,63,537,630,40,25,35,25,13,4,5,2,4,5,0,9,0,3,10,1,4,4,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,66,66,85,45,28,37,23,18,3,6,2,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,67,545,647,46,29,39,25,18,4,6,2,4,5,,9,,3,,1,3,4
Grayson,KY,37.455496,-86.37822,10,23,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,146,289,366,68,14,2,9,1,7,0,0,0,0,1,0,1,0,0,1,0,2,176,344,401,79,21,5,12,4,7,1,0,0,0,1,1,4,0,1,1,0,57,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,22,35,36,11,7,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,178,347,410,81,21,5,12,4,7,1,,,,1,1,18,,,1,,11
Green,KY,37.257012,-85.56121,6,2,14,2,11,5,1,,,3,,2,2,4,1,24,0,0,6,3,1,59,46,108,5,8,6,2,0,0,0,0,0,4,0,0,37,0,0,2,3,0,75,59,131,10,27,14,4,1,1,7,6,7,15,17,12,44,46,17,11,8,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,1,,,,,,,,5,4,6,1,3,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,2,,1,,,,,,,,,,,,,,,,,3,6,1,2,4,,,,1,,,,,,,,1,,4,,,11,6,45,14,,,,1,1,,,,2,,,,3,5,5,9,12,,,,,,,,75,59,131,10,27,14,4,1,1,7,6,7,15,17,12,67,46,14,12,8,1
Greenup,KY,38.566569,-82.950156,14,11,9,11,8,4,6,5,3,5,1,1,4,1,0,1,0,0,0,1,0,236,210,217,366,371,430,450,435,354,389,307,252,193,157,107,85,137,57,83,41,48,343,323,309,494,456,511,498,504,391,396,312,255,199,159,115,100,143,67,91,48,59,,,1,,,,,,1,,,1,,,,,,,,,,1,,3,1,,,,2,5,1,1,1,,,,,,,,,,,,,,,1,,1,,,,,,,2,,,,,,,13,27,24,22,24,25,,2,,,,,,,,,,,,,,13,13,9,19,10,8,6,9,5,1,1,,,1,,1,,2,4,2,2,65,59,44,72,43,41,36,48,23,,2,,2,,6,12,6,5,4,4,3,,1,,,,,,1,3,2,3,,2,,2,,,,,,,,,,,,,,343,323,309,494,456,511,498,504,391,396,312,255,199,159,115,100,143,64,91,48,53
Hancock,KY,37.828091,-86.761749,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,4,,,,,,,,,,,,,,,,,,,1,1,8,1,3,,1,,,,,,,,,,,,,,
Hardin,KY,37.656571,-86.012157,133,97,99,57,69,67,55,28,39,7,28,13,49,32,17,96,47,96,78,6,11,841,1062,982,898,985,1324,1456,979,69,33,51,61,82,56,20,34,18,12,12,13,3,1182,1366,1203,1044,1114,1470,1563,1095,167,112,119,78,134,95,45,69,46,59,36,43,19,1,3,,1,4,4,5,4,,3,4,2,1,3,2,,1,1,,,,1,2,3,1,1,4,7,2,1,1,,1,1,1,3,,,,,,,3,4,5,1,3,3,,5,,1,3,,1,,1,,3,,1,1,,27,23,26,30,14,21,12,30,,,,,,,,,,,,,,29,49,23,16,12,6,5,5,5,11,4,1,,2,1,1,3,3,,6,1,156,128,76,46,23,38,21,40,52,54,29,,1,1,1,,3,5,2,15,8,1,,,1,,,,4,4,3,2,9,3,2,2,1,2,,,,,,7,1,,,,,1195,1372,1217,1052,1120,1470,1563,1095,167,112,119,78,135,95,46,138,76,118,93,41,23
Harlan,KY,36.88903,-83.207764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,29,29,25,37,35,27,47,46,21,33,21,21,8,30,25,22,15,23,7,12,68,46,57,63,52,58,33,50,50,24,38,27,24,9,33,27,22,18,24,9,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,2,2,3,4,2,,1,,,,,,,,,,,,,18,17,26,35,10,18,4,3,3,3,5,4,2,1,3,1,,3,1,1,,,1,,,,,,,,,1,2,,,,,,,,1,,,,,,,,,68,46,57,63,52,58,33,50,50,24,38,27,24,9,33,27,22,18,24,8,12
Harrison,KY,38.433304,-84.354205,245,247,189,178,177,176,194,163,188,163,143,114,115,108,69,174,258,122,309,214,525,679,803,812,771,881,799,821,919,1090,1458,1468,1497,1331,1152,1214,1196,582,529,464,540,585,1074,1265,1228,1234,1277,1161,1250,1353,1569,1885,1864,1826,1656,1448,1440,1421,844,789,744,865,948,3,1,3,6,7,4,10,19,23,26,16,17,10,2,2,,1,9,3,4,5,12,13,3,8,10,19,27,34,56,47,33,30,21,17,15,75,38,38,59,45,53,10,8,10,9,1,1,4,2,1,5,5,5,2,3,,,,3,1,,2,8,6,4,5,7,3,7,3,2,,1,,3,,,2,4,,2,,,22,29,26,56,33,16,33,45,45,23,40,20,28,22,22,17,25,24,28,29,30,95,152,174,190,152,136,158,159,154,162,153,125,139,137,117,122,135,123,129,143,165,,,1,,3,2,,8,9,11,13,15,10,1,11,9,3,6,17,7,4,15,1,1,1,2,1,2,1082,1268,1232,1236,1283,1164,1255,1355,1569,1887,1865,1826,1657,1448,1454,1587,1045,849,1000,978,1367
Hart,KY,37.31013,-85.848624,1,85,8,5,1,14,6,5,1,0,3,0,7,12,0,123,0,0,0,1,378,53,118,176,54,78,92,64,5,2,9,5,2,2,1,0,3,0,0,0,0,12,62,237,216,74,80,116,72,10,4,9,8,4,10,15,0,50,0,19,0,3,76,,1,,,,,,,,,,,,,,5,,,,,,,,,,,1,,,,,,2,,,,6,,,,,,,5,1,,,3,2,,,,,,,1,,,,,,,,7,6,9,5,1,1,,,,,,,,,,,,,,,,,3,5,,,,,,,,,,,,,1,,,,,,,18,17,9,,2,,,,,,,,1,,3,,,,,,,,,,,,,1,3,2,1,,3,,,1,,,,,,,7,,,,1,,62,239,218,74,80,116,72,10,4,9,8,4,10,15,,148,,,,2,390
Henderson,KY,37.741516,-87.579129,1,1,3,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,13,12,29,24,11,7,4,1,1,0,0,1,0,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,8,5,5,1,,,1,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,2,3,20,14,10,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,13,12,30,24,11,7,4,1,1,,,1,,,,,,,,,
Henry,KY,38.426839,-85.147936,41,27,18,27,26,17,21,29,25,23,23,15,20,25,130,156,251,448,433,360,282,8,3,8,12,7,14,15,7,20,4,2,3,155,232,305,303,370,410,427,414,366,102,74,65,78,64,68,81,72,103,74,69,79,234,289,373,382,356,435,488,518,490,,,2,,,,1,3,2,3,3,1,1,1,,,1,3,3,15,7,,1,2,,,,2,6,9,8,8,2,3,,2,16,,1,1,8,17,1,1,1,,,,2,,3,,1,1,1,2,,,1,,2,1,6,5,2,3,1,1,3,8,2,4,4,4,,1,,,,1,7,37,27,45,7,5,4,10,3,1,5,4,10,4,5,8,8,5,3,1,3,,2,2,1,38,32,27,24,26,33,23,18,28,25,23,31,24,22,21,23,24,11,20,13,12,,,,2,1,,,2,3,1,4,1,,4,3,2,3,1,18,21,2,16,9,23,17,1,6,5,102,74,66,78,64,68,81,72,103,74,70,79,234,289,477,508,674,899,927,846,741
Hickman,KY,36.648218,-88.979678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hopkins,KY,37.315309,-87.579129,3,1,1,,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,14,0,1,2,6,16,17,16,17,15,8,0,0,0,0,0,0,0,0,0,47,37,6,7,13,8,24,22,19,17,16,8,0,0,0,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,23,7,5,8,2,8,5,3,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,51,40,8,7,13,8,24,22,19,17,16,8,,,,,,,,,
Jackson,KY,37.402327,-84.016742,19,24,12,20,4,9,10,8,7,7,10,1,4,0,0,0,0,0,0,0,0,247,183,218,283,387,420,445,476,408,394,309,0,92,0,0,0,0,0,0,0,0,299,257,299,349,417,460,476,524,453,432,377,2,116,6,1,0,1,1,0,0,0,,,1,,,,,,,,,,,1,,,,,,,,,,1,2,1,4,1,,10,2,3,,1,,1,,,,,,,1,1,8,5,1,,,1,,,,1,2,,,,,,,,,3,,,,,5,1,,,,2,,,,,,,,,,,5,6,3,5,4,2,2,3,3,2,1,,1,,,,,,,,,24,45,56,32,19,21,17,32,22,18,12,,16,5,,,1,,,,,,,,,,,,,,,2,1,1,,4,3,9,41,,,,,,,,,,,299,259,299,349,417,462,476,524,453,432,378,2,116,6,1,,1,,,,
Jefferson,KY,38.19381,-85.643487,8,5,4,2,2,0,2,1,1,3,0,0,2,0,0,0,1,0,1,10,14,112,191,117,74,209,109,294,290,187,296,459,99,77,95,93,752,1011,693,418,149,127,1598,1893,2055,2208,2316,1939,1964,1911,1631,1777,1958,1661,1630,1593,1523,1737,2367,2059,1783,1434,1417,,1,1,,,1,,,,,,,,,,1,1,7,,,,1,5,1,7,28,7,10,1,1,1,1,2,2,2,2,16,13,24,29,23,26,139,196,227,245,246,266,296,213,48,13,9,7,6,5,3,,,4,4,2,2,19,12,10,11,7,2,4,5,5,3,5,1,8,4,5,6,3,7,10,15,28,192,211,277,320,260,199,178,179,184,169,175,219,215,184,175,186,194,185,151,144,140,1085,1181,1281,1418,1423,1315,1153,1172,1133,1257,1266,1317,1286,1274,1215,1156,1212,1203,1176,1068,1083,6,4,2,4,3,7,2,48,95,140,131,141,47,29,53,72,36,44,20,33,32,26,46,49,35,41,42,26,1604,1897,2058,2208,2317,1946,1966,1914,1631,1778,1959,1665,1631,1596,1526,2167,2486,2161,1833,1460,1448
Jessamine,KY,37.895573,-84.564147,161,166,149,114,77,60,46,57,52,40,37,25,18,15,28,14,78,208,30,34,32,1256,1282,1476,1878,1808,2073,1332,1219,1111,890,994,1223,996,841,662,877,962,654,412,428,407,1708,1764,2006,2339,2268,2420,1672,1521,1404,1235,1236,1479,1244,1063,847,773,937,735,559,535,588,5,8,8,19,7,11,18,19,9,10,5,1,5,2,,3,,3,2,2,,16,20,12,6,13,9,12,29,23,12,11,5,4,7,3,2,1,3,61,4,7,10,4,7,3,1,1,11,2,1,1,2,,1,2,3,,1,1,1,1,2,3,5,1,,2,1,,1,,,,,,1,,,,,,,,44,47,69,49,61,39,36,34,30,44,35,26,33,25,13,21,16,14,16,16,23,202,217,263,262,285,220,209,146,169,237,144,191,183,163,137,143,138,121,140,128,124,,1,,2,,,1,13,20,21,10,16,11,10,15,11,4,8,8,4,7,9,4,6,9,4,1,,1710,1769,2006,2341,2270,2425,1674,1523,1407,1238,1236,1479,1244,1064,855,1065,1202,1014,666,614,596
Johnson,KY,37.804834,-82.864062,2,1,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,56,64,129,104,122,106,139,132,116,120,97,76,65,69,82,40,88,46,29,53,32,90,111,167,154,162,130,173,160,121,134,105,81,70,71,47,32,42,42,36,60,37,,,,,,,,,,,,,,,,,,,,,,,2,2,,3,3,,2,2,5,1,2,1,1,,,,,,,,2,,1,2,,,1,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,11,12,7,5,8,6,,,1,2,1,,,,1,,1,1,,26,37,24,34,28,16,24,18,1,6,5,1,1,,,2,1,,6,5,5,,,,,,,,,3,,2,2,,1,1,1,,,,,1,,1,,,,,,90,111,168,154,162,130,173,160,121,134,105,81,70,71,82,43,90,46,36,59,37
Kenton,KY,38.986387,-84.564147,66,49,43,45,42,33,40,33,39,38,18,7,10,9,21,12,10,14,63,10,31,91,94,80,53,57,82,97,100,104,90,80,75,66,49,76,31,38,49,30,22,21,445,380,467,456,365,415,376,294,348,261,168,252,180,135,186,138,116,121,91,93,80,,1,,,,,,,,,,,,1,,,,,,,,3,4,3,4,4,8,5,5,12,2,1,,3,1,3,2,,1,,5,1,12,7,21,15,10,9,5,2,2,1,,,3,,,,,,,,,3,2,7,10,6,7,5,6,,,,,,,,,,,,,,29,27,69,63,46,44,33,38,36,19,12,22,9,12,19,8,9,10,4,5,6,233,193,240,250,186,227,179,106,148,110,56,139,81,61,64,73,55,50,51,57,45,,1,1,,,,,11,5,6,16,14,6,12,6,6,2,1,9,8,2,7,8,4,1,1,1,,448,382,469,456,365,416,376,296,348,262,168,252,180,135,190,135,117,125,149,100,104
Knott,KY,37.346112,-82.993161,5,3,5,1,,2,8,1,3,2,3,1,0,0,0,0,0,3,0,0,0,82,89,99,111,167,148,176,168,109,123,86,90,63,10,1,20,24,25,32,0,0,114,129,137,141,187,166,194,182,127,145,115,101,70,10,2,20,24,28,32,0,0,,,,,,,,,,,,,,,,,,,,,,1,4,3,1,3,,1,1,6,,2,,,,,,,,,,,,,,1,1,,1,,2,2,,1,1,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,6,2,6,6,2,4,,,3,2,1,,,,,,,,,,,19,27,17,19,13,11,8,11,4,15,22,7,3,,,,,,,,,,,,,,,,1,4,6,2,1,1,,,,1,1,2,2,,,,,,,,,114,129,137,141,187,166,194,182,127,145,115,101,70,10,2,20,24,28,32,,
Knox,KY,36.926058,-83.889706,0,2,4,8,2,3,3,5,3,1,3,1,0,1,0,2,1,1,2,0,0,0,127,141,134,151,231,261,260,235,292,271,244,150,155,134,112,64,74,55,63,65,1,136,181,174,180,264,304,319,278,335,300,292,187,185,161,144,93,100,86,101,97,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,3,9,5,3,2,1,4,,,,,,,1,,,1,1,2,,,,1,,,1,,,,,,,,,,,1,,1,1,,1,,,,,,,,,,,,,,,,,,3,3,4,1,4,4,2,6,1,3,3,2,,4,3,2,4,6,5,,5,30,25,21,26,32,40,33,33,22,43,30,27,25,25,25,28,24,31,27,,,,,,,,,1,,,,1,1,,,,,,,,1,,,,1,,,1,136,181,174,180,264,304,319,278,335,300,292,187,185,160,143,93,105,86,101,97
